season,round,race_name,circuit_name,race_date,driver_id,driver_code,given_name,family_name,constructor_id,constructor_name,grid,position,points,status
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,2,1,25,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,1,2,18,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,bottas,BOT,Valtteri,Bottas,mercedes,Mercedes,3,3,16,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,norris,NOR,Lando,Norris,mclaren,McLaren,7,4,12,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,perez,PER,Sergio,Pérez,red_bull,Red Bull,0,5,10,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,leclerc,LEC,Charles,Leclerc,ferrari,Ferrari,4,6,8,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,ricciardo,RIC,Daniel,Ricciardo,mclaren,McLaren,6,7,6,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,sainz,SAI,Carlos,Sainz,ferrari,Ferrari,8,8,4,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,tsunoda,TSU,Yuki,Tsunoda,alphatauri,AlphaTauri,13,9,2,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,stroll,STR,Lance,Stroll,aston_martin,Aston Martin,10,10,1,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,raikkonen,RAI,Kimi,Räikkönen,alfa,Alfa Romeo,14,11,0,Finished
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,giovinazzi,GIO,Antonio,Giovinazzi,alfa,Alfa Romeo,12,12,0,+1 Lap
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,ocon,OCO,Esteban,Ocon,alpine,Alpine F1 Team,16,13,0,+1 Lap
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,russell,RUS,George,Russell,williams,Williams,15,14,0,+1 Lap
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,vettel,VET,Sebastian,Vettel,aston_martin,Aston Martin,20,15,0,+1 Lap
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,mick_schumacher,MSC,Mick,Schumacher,haas,Haas F1 Team,18,16,0,+1 Lap
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,gasly,GAS,Pierre,Gasly,alphatauri,AlphaTauri,5,17,0,Retired
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,latifi,LAT,Nicholas,Latifi,williams,Williams,17,18,0,Retired
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,alonso,ALO,Fernando,Alonso,alpine,Alpine F1 Team,9,19,0,Brakes
2021,1,Bahrain Grand Prix,Bahrain International Circuit,2021-03-28,mazepin,MAZ,Nikita,Mazepin,haas,Haas F1 Team,19,20,0,Accident
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,3,1,25,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,1,2,19,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,norris,NOR,Lando,Norris,mclaren,McLaren,7,3,15,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,leclerc,LEC,Charles,Leclerc,ferrari,Ferrari,4,4,12,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,sainz,SAI,Carlos,Sainz,ferrari,Ferrari,11,5,10,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,ricciardo,RIC,Daniel,Ricciardo,mclaren,McLaren,6,6,8,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,gasly,GAS,Pierre,Gasly,alphatauri,AlphaTauri,5,7,6,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,stroll,STR,Lance,Stroll,aston_martin,Aston Martin,10,8,4,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,ocon,OCO,Esteban,Ocon,alpine,Alpine F1 Team,9,9,2,Finished
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,2021-04-18,alonso,ALO,Fernando,Alonso,alpine,Alpine F1 Team,15,10,1,Finished
